00:00:59.2167851	PlatformMove	BallPos	496,430	PlaXCoor	170	BallVel	-7,10
00:00:59.4334522	PlatformStop	BallPos	405,560	PlaXCoor	290	BallVel	-7,10
00:00:59.5834525	PlatformMove	BallPos	342,650	PlaXCoor	280	BallVel	-7,10
00:00:59.6834527	Collision	BallOrigin	332,733	PlatOrigin	305,767	BallVel	-7,10
00:00:59.8501197	PlatformStop	BallPos	230,590	PlaXCoor	130	BallVel	-7,-10
00:01:00.2334538	PlatformMove	BallPos	69,360	PlaXCoor	140	BallVel	-7,-10
00:01:00.5501211	PlatformStop	BallPos	62,170	PlaXCoor	320	BallVel	7,-10
00:01:01.8501237	PlatformMove	BallPos	454,670	PlaXCoor	330	BallVel	-7,10
00:01:01.9167905	Collision	BallOrigin	458,733	PlatOrigin	435,767	BallVel	-7,10
00:01:02.0167907	PlatformStop	BallPos	384,630	PlaXCoor	420	BallVel	-7,-10
00:01:02.4167915	PlatformMove	BallPos	216,390	PlaXCoor	410	BallVel	-7,-10
00:01:02.5834585	PlatformStop	BallPos	146,290	PlaXCoor	320	BallVel	-7,-10
00:01:04.2001284	GameEnd	BallPos	531,740	PlatPos	320,755	BallVel	7,10	Rounds	22
